uuid,name,description,class,shortname,child.1,child.2,child.3,child.4,child.5,child.6,reference-term-source,reference-term-code,reference-term-relationship
,Burn note-Burn status,,Misc,Burn status,Burn note-Mode of burn,Burn note-Site of burn,Burn note-Percentage of burn (%),Burn note-Degree of burn,Burn note-Complication of burn,,,,
,Burn note,,Misc,Burn note,Burn note-Day of presentation,Referred in,Burn note-Burn status,Delivery-Referred out,,,,,
