uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"HIVTC, Other chronic disease drugs",,Misc,Text,Drugs,,,,,,,,,,,,,,,,,,,,
,"HIVTC, ART eligible date",,Misc,Date,ART eligible date,,,,,,,,,,,,,,,,,,,,
,"HIVTC, ART start date",,Misc,Date,ART start date,,,,,,,,,,,,,,,,,,,,
,"HIVTC, ART Regimen",,Misc,Text,ART Regimen,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Transferred in from",,Misc,Text,From(site),,,,,,,,,,,,,,,,,,,,
,"HIVTC, Date of transferred in",,Misc,Date,Date of Transfer,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Regimen when transferred in",,Misc,Text,Regimen when transferred,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Transferred out to",,Misc,Text,To(site),,,,,,,,,,,,,,,,,,,,
,"HIVTC, Date of transferred out",,Misc,Date,Date of Transfer,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Regimen when transferred out",,Misc,Text,Regimen when transferred,,,,,,,,,,,,,,,,,,,,
,"HIVTC, CD4 count",,Misc,Numeric,CD4 count,,,,,,,,,,,,,,,,,,,,
,"HIVTC, CD4 count date",,Misc,Date,CD4 count date,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Height",For children,Misc,Numeric,Height,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Weight",,Misc,Numeric,Weight,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Viral Load",,Misc,Text,Viral Load,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Viral Load date",,Misc,Text,Viral Load date,,,,,,,,,,,,,,,,,,,,
,"HIVTC, IPT Follow-up",,Misc,Boolean,IPT Follow-up,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Treatment switched date",,Misc,Date,Treatment switched date,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Regimen when treatment switched",,Misc,Text,Regimen when treatment switched,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Reason for treatment switch",,Misc,Text,Reason for treatment switch,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Treatment substituted date",,Misc,Date,Treatment substituted date,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Regimen when treatment substituted",,Misc,Text,Regimen when treatment substituted,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Reason for treatment substitute",,Misc,Text,Reason for treatment substitute,,,,,,,,,,,,,,,,,,,,
