uuid,name,class,shortname,description,reference-term-code,reference-term-relationship,reference-term-source,child.1,child.2,child.3,child.4,child.5,child.6,child.7,child.8,child.9,child.10,child.11,child.12,child.13
,"Diabetes, Physical Examination",Misc,Physical Examination,,,,,"Diabetes, Systolic","Diabetes, Systolic Abnormal","Diabetes, Diastolic","Diabetes, Diastolic Abnormal","Diabetes, Pulse","Diabetes, Pulse Abnormal","Diabetes, RR","Diabetes, RR Abnormal","Diabetes, SAT","Diabetes, SAT Abnormal","Diabetes, Temperature","Diabetes, Temperature Abnormal","Diabetes, Physical Examination Details"
,"Diabetes, Progress",Misc,Diabetes – Progress,,,,,"Diabetes, Diabetes Type","Diabetes, Measuring Severity","Diabetes, Symptoms Of Complications","Diabetes, Chief Complaint","Diabetes, Current Medicines","Diabetes, Non Compliance","Diabetes, Reason for Non Compliance","Diabetes, Physical Examination","Diabetes, Assessment And Followup",,,,
