uuid,name,description,class,datatype,shortname,reference-term-code,reference-term-relationship,reference-term-source,synonym.1,answer.1,answer.2,answer.3,answer.4,answer.5,answer.6,answer.7,answer.8,answer.9,answer.10,answer.11,answer.12,answer.13,answer.14,answer.15,answer.16
,"HIVTC, Smear TB assessment at enrollment",,Misc,Coded,Smear,,,,,Negative,Positive,,,,,,,,,,,,,,
,"HIVTC, Culture TB assessment at enrollment",,Misc,Coded,Culture,,,,,Negative,Positive,,,,,,,,,,,,,,
,"HIVTC, Chest X-Ray TB assessment at enrollment",,Misc,Coded,Chest X-Ray,,,,,Negative,Positive,,,,,,,,,,,,,,
,"HIVTC, Gene Xpert TB assessment at enrollment",,Misc,Coded,Gene Xpert,,,,,Negative,Positive,,,,,,,,,,,,,,
,"HIVTC, TB Type",,Misc,Coded,TB Type,,,,,Extra Pulmonary,Pulmonary(BC),Pulmonary(CD),,,,,,,,,,,,,
,"HIVTC, TB Treatment start date",,Misc,Date,TB Treatment start date,,,,,,,,,,,,,,,,,,,,
,"HIVTC, TB Regimen",,Misc,Text,Regimen,,,,,,,,,,,,,,,,,,,,
,"HIVTC, TB Treatment Outcome",,Misc,Text,Treatment Outcome,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Other chronic diseases",,Misc,Text,Diseases,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Other chronic disease drugs",,Misc,Text,Drugs,,,,,,,,,,,,,,,,,,,,
,"HIVTC, ART eligible date",,Misc,Date,ART eligible date,,,,,,,,,,,,,,,,,,,,
,"HIVTC, ART start date",,Misc,Date,ART start date,,,,,,,,,,,,,,,,,,,,
,"HIVTC, ART Regimen",,Misc,Text,ART Regimen,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Transferred in from",,Misc,Text,From (site),,,,,,,,,,,,,,,,,,,,
,"HIVTC, Date of transferred in",,Misc,Date,Date of Transfer,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Regimen when transferred in",,Misc,Text,Regimen when transferred,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Transferred out to",,Misc,Text,To (site),,,,,,,,,,,,,,,,,,,,
,"HIVTC, Date of transferred out",,Misc,Date,Date of Transfer,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Regimen when transferred out",,Misc,Text,Regimen when transferred,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Viral Load",,Misc,Text,Viral Load,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Viral Load date",,Misc,Date,Viral Load date,,,,,,,,,,,,,,,,,,,,
,"HIVTC, IPT Follow-up",,Misc,Boolean,IPT Follow-up,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Treatment switched date",,Misc,Date,Treatment switched date,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Regimen when treatment switched",,Misc,Text,Regimen when treatment switched,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Reason for treatment switch",,Misc,Text,Reason for treatment switch,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Treatment substituted date",,Misc,Date,Treatment substituted date,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Regimen when treatment substituted",,Misc,Text,Regimen when treatment substituted,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Reason for treatment substitute",,Misc,Text,Reason for treatment substitute,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Opportunistic Infection Diagnosis",,Misc,Coded,Opportunistic Infection Diagnosis,,,,,Bacterial Pneumonia Opportunistic Infection,Tuberculosis Opportunistic Infection,Candidiasis Opportunistic Infection,Diarrhoea Opportunistic Infection,Crypto Meningitis Opportunistic Infection,Pneumocysitis Pneumonia Opportunistic Infection,Cytomegato Virus Opportunistic Infection,Herpes Zoster Opportunistic Infection,Herpes Genitalis Opportunistic Infection,Toxicity side effects,Others,,,,,
,"HIVTC, Other Opportunistic Infection Diagnosis",,Misc,Text,Others (Specify),,,,,,,,,,,,,,,,,,,,
,"HIVTC, Opportunistic Infection Treatment",,Misc,Text,Treatment,,,,,,,,,,,,,,,,,,,,
,"HIVTC, TB Screened",,Misc,Boolean,TB Screened,,,,,,,,,,,,,,,,,,,,
,"HIVTC, ART current status",,Misc,Coded,Current Status,,,,,On Treatment,Stopped Treatment,Transferred out,Missing,Lost to Follow-up,Death,Restarted,,,,,,,,,
,"HIVTC, ART Treatment Adherence",A --> greater than 95%<br>B --> 80‐95% <br>C --> less than 80%,Misc,Coded,Treatment Adherence,,,,,Adherence Level A,Adherence Level B,Adherence Level C,,,,,,,,,,,,,
,"HIVTC, Need Family Planning assessment",,Misc,Boolean,Need FP assessment,,,,,,,,,,,,,,,,,,,,
,"HIVTC, If not FP why",,Misc,Coded,"If not, why",,,,,Oral Contraceptives,Intra Uterine Contraceptive Device,Permanent,Refer for other FP services,,,,,,,,,,,,
,"HIVTC, ART cohort",,Misc,Coded,Antiretroviral Cohort (EWI),,,,,Ontime Pill Pickup,Retention on first line,Viral Load Suppression,Retention on treament,,,,,,,,,,,,
,"HIVTC, Date of Death",,Misc,Date,Date of Death,,,,,,,,,,,,,,,,,,,,
,"HIVTC, Mortality coding",,Misc,Text,Mortality coding (ICD code),,,,,,,,,,,,,,,,,,,,
